Iteration,Group,Sex,Age_Group,Permutation_Delta
71,Chinese,Female,40-90,0.13041437391417166
72,Chinese,Female,40-90,-0.002706428371320957
73,Chinese,Female,40-90,-0.16584892708347843
74,Chinese,Female,40-90,-0.058930054139124444
75,Chinese,Female,40-90,-0.0034342390534520817
76,Chinese,Female,40-90,-0.06423699992017395
77,Chinese,Female,40-90,0.012849300443927625
78,Chinese,Female,40-90,-0.11889059460536044
79,Chinese,Female,40-90,0.09637373949225614
80,Chinese,Female,40-90,-0.2336620536709062
81,Chinese,Female,40-90,0.25214773315939665
82,Chinese,Female,40-90,-0.029115301341092525
83,Chinese,Female,40-90,0.03710168830491467
84,Chinese,Female,40-90,0.018667491766326982
85,Chinese,Female,40-90,0.10915206878932171
86,Chinese,Female,40-90,0.12349669794819018
87,Chinese,Female,40-90,-0.2895779054391938
88,Chinese,Female,40-90,-0.3470008449393349
89,Chinese,Female,40-90,-0.04737175769111124
90,Chinese,Female,40-90,0.14726886295442965
91,Chinese,Female,40-90,-0.08190477911875504
92,Chinese,Female,40-90,-0.1625002630740422
93,Chinese,Female,40-90,0.05690446926257664
94,Chinese,Female,40-90,0.07442408905673759
95,Chinese,Female,40-90,-0.0990969569251492
96,Chinese,Female,40-90,0.20762725982064767
97,Chinese,Female,40-90,0.16577250517448094
98,Chinese,Female,40-90,0.07979538504198658
99,Chinese,Female,40-90,-0.130221262745434
100,Chinese,Female,40-90,0.021672472927942277
101,Chinese,Female,40-90,0.07064483250790987
102,Chinese,Female,40-90,0.09688511275445544
103,Chinese,Female,40-90,-0.031053976700045283
104,Chinese,Female,40-90,0.04421965484747181
105,Chinese,Female,40-90,-0.08788378461142754
106,Chinese,Female,40-90,-0.10488854449027496
107,Chinese,Female,40-90,-0.09356972450548717
108,Chinese,Female,40-90,-0.07595474749704412
109,Chinese,Female,40-90,-0.061423448918213275
110,Chinese,Female,40-90,0.06879956828886646
111,Chinese,Female,40-90,-0.024827264426690032
112,Chinese,Female,40-90,0.21153740486607564
113,Chinese,Female,40-90,0.10076604852008586
114,Chinese,Female,40-90,-0.07902790117567937
115,Chinese,Female,40-90,0.21430522328909163
116,Chinese,Female,40-90,0.11806351501292323
117,Chinese,Female,40-90,0.04821531445803817
118,Chinese,Female,40-90,-0.07128789989697548
119,Chinese,Female,40-90,0.1980571521698109
120,Chinese,Female,40-90,0.017203975181246278
121,Chinese,Female,40-90,0.0747818894463057
122,Chinese,Female,40-90,0.13232889217083965
123,Chinese,Female,40-90,-0.16152445329086262
124,Chinese,Female,40-90,0.11267615992569713
125,Chinese,Female,40-90,-0.06562560426930064
126,Chinese,Female,40-90,-0.14558634731164677
127,Chinese,Female,40-90,-0.08779274883621113
128,Chinese,Female,40-90,-0.09269330894416994
129,Chinese,Female,40-90,-0.005687045388900636
130,Chinese,Female,40-90,0.46492396210665765
131,Chinese,Female,40-90,0.19199071982435356
132,Chinese,Female,40-90,0.10178116353375533
133,Chinese,Female,40-90,0.03090805169675015
134,Chinese,Female,40-90,0.001285802406544967
135,Chinese,Female,40-90,0.1523574326280741
136,Chinese,Female,40-90,-0.016342351160131052
137,Chinese,Female,40-90,0.029580827316805447
138,Chinese,Female,40-90,0.20799455136524347
139,Chinese,Female,40-90,-0.26079886139524744
140,Chinese,Female,40-90,0.07230228355846746
141,Chinese,Female,40-90,-0.1176006847165536
142,Chinese,Female,40-90,0.028604686104841903
143,Chinese,Female,40-90,0.03059655597905886
144,Chinese,Female,40-90,-0.014129991156700328
145,Chinese,Female,40-90,0.14814893588812916
146,Chinese,Female,40-90,0.028702228047092326
147,Chinese,Female,40-90,0.12179338692590047
148,Chinese,Female,40-90,0.2526515852283695
149,Chinese,Female,40-90,0.08668673831779561
150,Chinese,Female,40-90,-0.02595398505259805
151,Chinese,Female,40-90,-0.18636384685646368
152,Chinese,Female,40-90,-0.010620968885068027
153,Chinese,Female,40-90,-0.15812110891371223
154,Chinese,Female,40-90,0.09351695007256078
155,Chinese,Female,40-90,0.16574081740817093
156,Chinese,Female,40-90,-0.06073967763757793
157,Chinese,Female,40-90,0.2930978774130799
158,Chinese,Female,40-90,-0.052653727094815306
159,Chinese,Female,40-90,-0.011749853880126615
160,Chinese,Female,40-90,0.047687678866279004
161,Chinese,Female,40-90,-0.17988350368936246
162,Chinese,Female,40-90,-0.22184586634799208
163,Chinese,Female,40-90,-0.35729143402116437
164,Chinese,Female,40-90,-0.19596067271394757
165,Chinese,Female,40-90,0.10874423403408384
166,Chinese,Female,40-90,0.08297225383858997
167,Chinese,Female,40-90,0.01618158260965874
168,Chinese,Female,40-90,-0.14671952619296302
169,Chinese,Female,40-90,0.1255429280594429
170,Chinese,Female,40-90,0.13512644401933738
171,Chinese,Female,40-90,0.04382011906042527
172,Chinese,Female,40-90,0.060237066357335056
173,Chinese,Female,40-90,0.015116666232031672
174,Chinese,Female,40-90,-0.1042530980020171
175,Chinese,Female,40-90,-0.12672233275970468
176,Chinese,Female,40-90,-0.006250181921914066
177,Chinese,Female,40-90,0.0891413022026244
178,Chinese,Female,40-90,0.044136048078105894
179,Chinese,Female,40-90,-0.007338378461287931
180,Chinese,Female,40-90,0.08579510791974476
181,Chinese,Female,40-90,-0.0799837745084937
182,Chinese,Female,40-90,0.21486882840303068
183,Chinese,Female,40-90,-0.007369587444044257
184,Chinese,Female,40-90,-0.06083336068818257
185,Chinese,Female,40-90,0.09229972868699843
186,Chinese,Female,40-90,0.02808333334864921
187,Chinese,Female,40-90,0.2717020906068277
188,Chinese,Female,40-90,-0.037626432027487944
189,Chinese,Female,40-90,0.06397399504260148
190,Chinese,Female,40-90,0.10133838037355458
191,Chinese,Female,40-90,0.022806093122885063
192,Chinese,Female,40-90,-0.0635222108729363
193,Chinese,Female,40-90,-0.17214509514043463
194,Chinese,Female,40-90,0.16358743223531658
195,Chinese,Female,40-90,-0.1195556254420369
196,Chinese,Female,40-90,-0.16272989957242956
197,Chinese,Female,40-90,-0.3468806546655099
198,Chinese,Female,40-90,-0.07091830407735378
199,Chinese,Female,40-90,-0.06731880691824799
200,Chinese,Female,40-90,0.04860104842153001
201,Chinese,Female,40-90,0.030898435142082903
202,Chinese,Female,40-90,0.1915031809744896
203,Chinese,Female,40-90,0.3576481747278297
204,Chinese,Female,40-90,-0.22106965748332508
205,Chinese,Female,40-90,-0.08889911795540728
206,Chinese,Female,40-90,0.06522314362755299
207,Chinese,Female,40-90,0.08206455116409872
208,Chinese,Female,40-90,0.007884921959270041
209,Chinese,Female,40-90,0.053681503702536215
210,Chinese,Female,40-90,0.2135795350164833
211,Chinese,Female,40-90,-0.16738044350089387
212,Chinese,Female,40-90,0.0985879896075521
213,Chinese,Female,40-90,-0.12310817110250927
214,Chinese,Female,40-90,-0.17130329704989267
215,Chinese,Female,40-90,0.12476109417860792
216,Chinese,Female,40-90,-0.054806161962727806
217,Chinese,Female,40-90,0.33922053184696876
218,Chinese,Female,40-90,0.0796231762395112
219,Chinese,Female,40-90,0.11433336909993708
220,Chinese,Female,40-90,-0.09515159707143361
221,Chinese,Female,40-90,-0.010413542609019277
222,Chinese,Female,40-90,0.19863626820301628
223,Chinese,Female,40-90,-0.015270824659446625
224,Chinese,Female,40-90,0.28815608449680674
225,Chinese,Female,40-90,0.09874807871364544
226,Chinese,Female,40-90,0.021501854161937395
227,Chinese,Female,40-90,-0.03759085811212204
228,Chinese,Female,40-90,-0.0517204871329171
229,Chinese,Female,40-90,0.11341129315939513
230,Chinese,Female,40-90,0.08606476026321142
231,Chinese,Female,40-90,0.10672402881192067
232,Chinese,Female,40-90,-0.07807778177163183
233,Chinese,Female,40-90,-0.06729209995921659
234,Chinese,Female,40-90,0.0450955752208837
235,Chinese,Female,40-90,0.005772517968028357
236,Chinese,Female,40-90,0.18173640075194264
237,Chinese,Female,40-90,0.2180987902460303
238,Chinese,Female,40-90,-0.1903987526743598
239,Chinese,Female,40-90,-0.2342197324774773
240,Chinese,Female,40-90,0.0406694407131285
241,Chinese,Female,40-90,0.07380144567140956
242,Chinese,Female,40-90,0.03998042960927206
243,Chinese,Female,40-90,0.10676698681201513
244,Chinese,Female,40-90,-0.0319301105564298
245,Chinese,Female,40-90,0.12099729384564029
246,Chinese,Female,40-90,-0.20463606308343962
247,Chinese,Female,40-90,-0.1997977980079404
248,Chinese,Female,40-90,0.09745684247452235
249,Chinese,Female,40-90,-0.10064843198016726
250,Chinese,Female,40-90,-0.02458796375330552
251,Chinese,Female,40-90,-0.09287239294686955
252,Chinese,Female,40-90,-0.00749887509235414
253,Chinese,Female,40-90,0.16072769213338844
254,Chinese,Female,40-90,-0.012930288614201757
255,Chinese,Female,40-90,0.05535695692965392
256,Chinese,Female,40-90,0.07427199649620864
257,Chinese,Female,40-90,-0.05530465660213579
258,Chinese,Female,40-90,0.059782811309967876
259,Chinese,Female,40-90,-0.03205453366419686
260,Chinese,Female,40-90,0.035891881193498065
261,Chinese,Female,40-90,-0.0868397580746092
262,Chinese,Female,40-90,0.017362939660181098
263,Chinese,Female,40-90,-0.004476307354314812
264,Chinese,Female,40-90,-0.24811268030238143
265,Chinese,Female,40-90,-0.19418627197038374
266,Chinese,Female,40-90,0.07285177351327965
267,Chinese,Female,40-90,-0.16607242254839694
268,Chinese,Female,40-90,-0.10834503399326012
269,Chinese,Female,40-90,0.055381735070501925
270,Chinese,Female,40-90,-0.041932388148986366
271,Chinese,Female,40-90,-0.10943259469807609
272,Chinese,Female,40-90,0.05770031004628695
273,Chinese,Female,40-90,-0.013728966447483781
274,Chinese,Female,40-90,-0.09964876057826944
275,Chinese,Female,40-90,-0.008992689630237027
276,Chinese,Female,40-90,0.0522567791393449
277,Chinese,Female,40-90,-0.19513590289888993
278,Chinese,Female,40-90,-0.04872762247647966
279,Chinese,Female,40-90,-0.1453294573318602
280,Chinese,Female,40-90,-0.060997747351867915
281,Chinese,Female,40-90,-0.04566472175462177
282,Chinese,Female,40-90,-0.17466469634800852
283,Chinese,Female,40-90,0.13157154960059714
284,Chinese,Female,40-90,-0.07818499121067779
285,Chinese,Female,40-90,0.16984797277166352
286,Chinese,Female,40-90,0.06484892586908053
287,Chinese,Female,40-90,-0.018879624595059763
288,Chinese,Female,40-90,-0.13335745635843432
289,Chinese,Female,40-90,0.13761111169870333
290,Chinese,Female,40-90,-0.15268920688831233
291,Chinese,Female,40-90,-0.16514498628968832
292,Chinese,Female,40-90,0.05127763690563514
293,Chinese,Female,40-90,0.030401938485068225
294,Chinese,Female,40-90,-0.20857637360514447
295,Chinese,Female,40-90,0.041522827327259204
296,Chinese,Female,40-90,0.13588689021863054
297,Chinese,Female,40-90,0.03670500250450992
298,Chinese,Female,40-90,0.1203242584726576
299,Chinese,Female,40-90,0.08036992890543582
300,Chinese,Female,40-90,0.16654589603124847
301,Chinese,Female,40-90,0.05509512176141529
302,Chinese,Female,40-90,-0.15592872355088527
303,Chinese,Female,40-90,-0.2118133401160871
304,Chinese,Female,40-90,-0.2528323753023547
305,Chinese,Female,40-90,-0.24180345076260723
306,Chinese,Female,40-90,0.007480790103254087
307,Chinese,Female,40-90,-0.04632622515484197
308,Chinese,Female,40-90,-0.01674388459073306
309,Chinese,Female,40-90,-0.08065580903492142
310,Chinese,Female,40-90,0.08710736549131504
311,Chinese,Female,40-90,0.06100559058305066
312,Chinese,Female,40-90,-0.07359457355910859
313,Chinese,Female,40-90,-0.1730889241114837
314,Chinese,Female,40-90,0.06763882670866161
315,Chinese,Female,40-90,-0.1347468550659281
316,Chinese,Female,40-90,-0.012611408894112053
317,Chinese,Female,40-90,0.1629852086672745
318,Chinese,Female,40-90,-0.1105238435252689
319,Chinese,Female,40-90,0.028820881348156302
320,Chinese,Female,40-90,-0.09365345151093374
321,Chinese,Female,40-90,0.054868512244715006
322,Chinese,Female,40-90,-0.1261842158151194
323,Chinese,Female,40-90,-0.12543241225425428
324,Chinese,Female,40-90,-0.021734240056094478
325,Chinese,Female,40-90,-0.0604145188430798
326,Chinese,Female,40-90,-0.00847085572312789
327,Chinese,Female,40-90,0.12754016349821873
328,Chinese,Female,40-90,0.008731172072831583
329,Chinese,Female,40-90,0.015592494306877036
330,Chinese,Female,40-90,-0.10193587245157598
331,Chinese,Female,40-90,-0.0061015833730855285
332,Chinese,Female,40-90,0.34475482189129636
333,Chinese,Female,40-90,-0.19013070842514335
334,Chinese,Female,40-90,0.048331738090345855
335,Chinese,Female,40-90,0.15657431038035785
336,Chinese,Female,40-90,0.04786216666232335
337,Chinese,Female,40-90,-0.03724256815037963
338,Chinese,Female,40-90,-0.032380188661092824
339,Chinese,Female,40-90,0.2895748255147321
340,Chinese,Female,40-90,-0.0025386573871548634
341,Chinese,Female,40-90,0.32864743099886473
342,Chinese,Female,40-90,0.1657863137306661
343,Chinese,Female,40-90,0.006352388759197414
344,Chinese,Female,40-90,0.10077045432060494
345,Chinese,Female,40-90,-0.05762904080202258
346,Chinese,Female,40-90,0.02290510645467192
347,Chinese,Female,40-90,-0.16339557489950884
348,Chinese,Female,40-90,-0.29863378779861893
349,Chinese,Female,40-90,0.029306280553722974
350,Chinese,Female,40-90,0.3247035061668955
351,Chinese,Female,40-90,0.08606344908555874
352,Chinese,Female,40-90,-0.05176206857635357
353,Chinese,Female,40-90,-0.07593812927488974
354,Chinese,Female,40-90,-0.0366437116205387
355,Chinese,Female,40-90,0.23027288271692026
356,Chinese,Female,40-90,-0.13797683945819195
357,Chinese,Female,40-90,0.1842871966429822
358,Chinese,Female,40-90,-0.2564690512053067
359,Chinese,Female,40-90,-0.3947538250797531
360,Chinese,Female,40-90,0.04324798705089661
361,Chinese,Female,40-90,0.10790944285162585
362,Chinese,Female,40-90,0.11046794821876604
363,Chinese,Female,40-90,-0.05130576911092266
364,Chinese,Female,40-90,0.4559569007523758
365,Chinese,Female,40-90,-0.1865264995185103
366,Chinese,Female,40-90,-0.1383539096770896
367,Chinese,Female,40-90,-0.17135786215346593
368,Chinese,Female,40-90,-0.33519748196570154
369,Chinese,Female,40-90,-0.07694979258926748
370,Chinese,Female,40-90,0.022740913655613593
371,Chinese,Female,40-90,-0.1498639919963134
372,Chinese,Female,40-90,-0.11094127147830513
373,Chinese,Female,40-90,-0.005108044150510693
374,Chinese,Female,40-90,0.22658352036350182
375,Chinese,Female,40-90,-0.13088126318626747
376,Chinese,Female,40-90,0.3342043400785193
377,Chinese,Female,40-90,-0.10675057761956053
378,Chinese,Female,40-90,-0.021611748731535485
379,Chinese,Female,40-90,-0.15589717145940352
380,Chinese,Female,40-90,0.08161800937788621
381,Chinese,Female,40-90,-0.07089111506039725
382,Chinese,Female,40-90,0.021768118971886352
383,Chinese,Female,40-90,-0.23664234378325366
384,Chinese,Female,40-90,-0.22165928560277903
385,Chinese,Female,40-90,0.008842886526808424
386,Chinese,Female,40-90,0.23972952953162086
387,Chinese,Female,40-90,0.061810631104633806
388,Chinese,Female,40-90,0.1813063879081218
389,Chinese,Female,40-90,0.16399996179225917
390,Chinese,Female,40-90,-0.07685187474053157
391,Chinese,Female,40-90,-0.01104103395250089
392,Chinese,Female,40-90,-0.07187903459245959
393,Chinese,Female,40-90,-0.004774644761882385
394,Chinese,Female,40-90,0.06485306875752928
395,Chinese,Female,40-90,-0.06543994427720179
396,Chinese,Female,40-90,0.19312684699109628
397,Chinese,Female,40-90,0.057737789461906885
398,Chinese,Female,40-90,0.03875688559126145
399,Chinese,Female,40-90,0.09242035690525174
400,Chinese,Female,40-90,-0.03637230174289918
401,Chinese,Female,40-90,-0.04698929487723724
402,Chinese,Female,40-90,0.0754719340672807
403,Chinese,Female,40-90,-0.09399510870945571
404,Chinese,Female,40-90,0.15035589987906217
405,Chinese,Female,40-90,0.11743334101411707
406,Chinese,Female,40-90,0.09729831302204195
407,Chinese,Female,40-90,-0.06461784573722529
408,Chinese,Female,40-90,0.04546321436872569
409,Chinese,Female,40-90,-0.08069393946421055
410,Chinese,Female,40-90,-0.13460317152945844
411,Chinese,Female,40-90,0.07097329680348707
412,Chinese,Female,40-90,0.10950901103985089
413,Chinese,Female,40-90,0.03775287845869624
414,Chinese,Female,40-90,0.11256390283708662
415,Chinese,Female,40-90,0.22201575221844294
416,Chinese,Female,40-90,0.19418333150324552
417,Chinese,Female,40-90,0.16445409024528512
418,Chinese,Female,40-90,0.0776911302803005
419,Chinese,Female,40-90,0.11678613311706387
420,Chinese,Female,40-90,-0.050492527194665904
421,Chinese,Female,40-90,-0.05840504505643329
422,Chinese,Female,40-90,-0.008749406529625858
423,Chinese,Female,40-90,-0.10018036721202828
424,Chinese,Female,40-90,0.16173677828684685
425,Chinese,Female,40-90,0.2663333015998095
426,Chinese,Female,40-90,-0.08332356897869753
427,Chinese,Female,40-90,-0.07617909449795546
428,Chinese,Female,40-90,-0.11137632377671203
429,Chinese,Female,40-90,0.03426445594898597
430,Chinese,Female,40-90,0.041323378418462564
431,Chinese,Female,40-90,0.06117600957087177
432,Chinese,Female,40-90,0.2945235118911609
433,Chinese,Female,40-90,0.15139532542510992
434,Chinese,Female,40-90,0.02438445601506567
435,Chinese,Female,40-90,0.17186086020512636
436,Chinese,Female,40-90,-0.06659780210613198
437,Chinese,Female,40-90,-0.23163980745269663
438,Chinese,Female,40-90,-0.13077278881072063
439,Chinese,Female,40-90,0.10729519788375397
440,Chinese,Female,40-90,0.02292790765036523
441,Chinese,Female,40-90,0.07426019463925959
442,Chinese,Female,40-90,0.35884112065631957
443,Chinese,Female,40-90,0.1719712350828706
444,Chinese,Female,40-90,0.17734866567317153
445,Chinese,Female,40-90,0.14914090993362938
446,Chinese,Female,40-90,-0.1525549702102782
447,Chinese,Female,40-90,0.00580172022982639
448,Chinese,Female,40-90,-0.04114897432375564
449,Chinese,Female,40-90,0.06369064581309924
450,Chinese,Female,40-90,-0.07946017810781747
451,Chinese,Female,40-90,0.021412086942871333
452,Chinese,Female,40-90,0.1344831028051332
453,Chinese,Female,40-90,-0.1557565022433205
454,Chinese,Female,40-90,0.15926120730323934
455,Chinese,Female,40-90,-0.04213034884273403
456,Chinese,Female,40-90,0.1302016159759245
457,Chinese,Female,40-90,0.062326964924342754
458,Chinese,Female,40-90,0.06746819419268135
459,Chinese,Female,40-90,-0.05569622318818768
460,Chinese,Female,40-90,-0.21771702382404268
461,Chinese,Female,40-90,-0.11783612330802917
462,Chinese,Female,40-90,-0.14012346511710794
463,Chinese,Female,40-90,-0.10106061132072375
464,Chinese,Female,40-90,0.15565131399201393
465,Chinese,Female,40-90,-0.14429077307577076
466,Chinese,Female,40-90,0.17958779464057173
467,Chinese,Female,40-90,-0.2124375037452424
468,Chinese,Female,40-90,0.06257790790817852
469,Chinese,Female,40-90,-0.06611886973974501
470,Chinese,Female,40-90,-0.07286330425926302
471,Chinese,Female,40-90,0.2724032547020623
472,Chinese,Female,40-90,-0.07753612421023837
473,Chinese,Female,40-90,-0.26429255005957275
474,Chinese,Female,40-90,-0.058703971470552396
475,Chinese,Female,40-90,0.274391602383409
476,Chinese,Female,40-90,-0.05306218790577999
477,Chinese,Female,40-90,-0.01132493437088522
478,Chinese,Female,40-90,-0.18249577851945853
479,Chinese,Female,40-90,0.2849268120346373
480,Chinese,Female,40-90,0.25262426993400977
481,Chinese,Female,40-90,-0.20741929823082295
482,Chinese,Female,40-90,-0.061145045270324605
483,Chinese,Female,40-90,-0.021525764069759923
484,Chinese,Female,40-90,0.08099728757701641
485,Chinese,Female,40-90,0.036118891067403514
486,Chinese,Female,40-90,-0.35253299121470283
487,Chinese,Female,40-90,0.019281616789308842
488,Chinese,Female,40-90,-0.10633316194033338
489,Chinese,Female,40-90,-0.21726906554249004
490,Chinese,Female,40-90,-0.1750393141923836
491,Chinese,Female,40-90,0.05860729830544997
492,Chinese,Female,40-90,0.221620398042377
493,Chinese,Female,40-90,0.093612673078459
494,Chinese,Female,40-90,0.15691031168771907
495,Chinese,Female,40-90,0.032922855136727325
496,Chinese,Female,40-90,0.21635501519753575
497,Chinese,Female,40-90,-0.23528733442930827
498,Chinese,Female,40-90,0.0858530587149593
499,Chinese,Female,40-90,-0.2696693122119602
500,Chinese,Female,40-90,0.19316027518761558
501,Chinese,Female,40-90,-0.062104167135827115
502,Chinese,Female,40-90,-0.03394784975686216
503,Chinese,Female,40-90,0.17530952266820332
504,Chinese,Female,40-90,0.06386645351469866
505,Chinese,Female,40-90,-0.28786788132953767
506,Chinese,Female,40-90,0.15325410487274027
507,Chinese,Female,40-90,0.07821751103133767
508,Chinese,Female,40-90,0.04008859007938437
509,Chinese,Female,40-90,-0.3068197146015228
510,Chinese,Female,40-90,-0.2852298068633381
511,Chinese,Female,40-90,0.20686419207724915
512,Chinese,Female,40-90,0.44220282899882335
513,Chinese,Female,40-90,-0.25727191314314357
514,Chinese,Female,40-90,0.16556525595896332
515,Chinese,Female,40-90,0.20223955917031722
516,Chinese,Female,40-90,-0.0002029712680005069
517,Chinese,Female,40-90,-0.19504931526443148
518,Chinese,Female,40-90,0.09460204551707818
519,Chinese,Female,40-90,-0.03258476701871249
520,Chinese,Female,40-90,0.06802169737619534
521,Chinese,Female,40-90,0.05429526890446379
522,Chinese,Female,40-90,0.1889841772319989
523,Chinese,Female,40-90,-0.10354401481792586
524,Chinese,Female,40-90,0.21075218577851862
525,Chinese,Female,40-90,-0.2853604892672972
526,Chinese,Female,40-90,0.004800967580249171
527,Chinese,Female,40-90,0.11932074339266352
528,Chinese,Female,40-90,0.02450539656062256
529,Chinese,Female,40-90,-0.16810134018463385
530,Chinese,Female,40-90,-0.012242866285839593
531,Chinese,Female,40-90,0.14054096141327177
532,Chinese,Female,40-90,0.03159044813759193
533,Chinese,Female,40-90,-0.15977166282934396
534,Chinese,Female,40-90,-0.18596022506260068
535,Chinese,Female,40-90,-0.11113693709249084
536,Chinese,Female,40-90,0.08114119609367343
537,Chinese,Female,40-90,-0.10880332049305474
538,Chinese,Female,40-90,-0.2383738738492327
539,Chinese,Female,40-90,0.09517659004557322
540,Chinese,Female,40-90,-0.05766040322103638
541,Chinese,Female,40-90,0.09130740019510952
542,Chinese,Female,40-90,0.36297523958185307
543,Chinese,Female,40-90,-0.12774223199101975
544,Chinese,Female,40-90,-0.11543699385222661
545,Chinese,Female,40-90,-0.07083161310329311
546,Chinese,Female,40-90,0.2351357328037369
547,Chinese,Female,40-90,-0.03344234923486589
548,Chinese,Female,40-90,0.011475020087512
549,Chinese,Female,40-90,-0.23918552607754417
550,Chinese,Female,40-90,0.11693925078214562
551,Chinese,Female,40-90,0.17757521914879604
552,Chinese,Female,40-90,-0.1834325924644289
553,Chinese,Female,40-90,0.22234642950317296
554,Chinese,Female,40-90,-0.15626776726947478
555,Chinese,Female,40-90,0.06055382894806227
556,Chinese,Female,40-90,-0.11063297956604767
557,Chinese,Female,40-90,-0.09855886423509785
558,Chinese,Female,40-90,-0.16491648517142465
559,Chinese,Female,40-90,0.26224500789320304
560,Chinese,Female,40-90,0.1620349084394781
561,Chinese,Female,40-90,0.10110210437370215
562,Chinese,Female,40-90,0.028838359135267222
563,Chinese,Female,40-90,-0.0004158961786884241
564,Chinese,Female,40-90,-0.1629077484219188
565,Chinese,Female,40-90,0.11453122522533477
566,Chinese,Female,40-90,0.15113471385038313
567,Chinese,Female,40-90,0.02983863103230666
568,Chinese,Female,40-90,0.21943049823087835
569,Chinese,Female,40-90,0.013054650955927283
570,Chinese,Female,40-90,0.01018215859175342
571,Chinese,Female,40-90,0.11898887901263278
572,Chinese,Female,40-90,-0.055454591118693664
573,Chinese,Female,40-90,0.10230159087021606
574,Chinese,Female,40-90,-0.06569748772497475
575,Chinese,Female,40-90,-0.19381228700813402
576,Chinese,Female,40-90,-0.04653574323472798
577,Chinese,Female,40-90,-0.07474505393630881
578,Chinese,Female,40-90,0.10323589656139953
579,Chinese,Female,40-90,0.0014458938055881276
580,Chinese,Female,40-90,0.09616835377459676
581,Chinese,Female,40-90,0.0435749368217615
582,Chinese,Female,40-90,0.03292837301126017
583,Chinese,Female,40-90,0.19996132432246938
584,Chinese,Female,40-90,0.014586787997037831
585,Chinese,Female,40-90,0.09807126835036906
586,Chinese,Female,40-90,-0.01740370833653504
587,Chinese,Female,40-90,-0.10818430524803979
588,Chinese,Female,40-90,-0.18756141621747568
589,Chinese,Female,40-90,-0.12837951002305337
590,Chinese,Female,40-90,0.3185285058478362
591,Chinese,Female,40-90,0.06134541030117857
592,Chinese,Female,40-90,-0.12354098468711916
593,Chinese,Female,40-90,-0.28368863721591175
594,Chinese,Female,40-90,-0.10123375133741552
